Index_novo,product_id,title_orig,price,retail_price,units_sold,uses_ad_boosts,rating,rating_count,rating_five_count,rating_four_count,rating_three_count,rating_two_count,rating_one_count,tags,product_color,product_variation_inventory,countries_shipped_to,inventory_total,merchant_rating_count,merchant_rating,units_sold_EscalaFix,rating_Base1000Fix,product_color_GroupedColourFix,product_color_GroupedByImpactFix,urgency_textTierFix,badges_countFix,badge_local_productFix,badge_product_qualityFix,badge_fast_shippingFix,uses_ad_boostsFix,shipping_option_nameFix,shipping_option_priceFix,shipping_is_expressFix,product_variation_size_idFix,tagsTypesFix,tagsMaterialFix,has_urgency_bannerFix,origin_countryFix,retail_price_DifFix,retail_price_DIFP_Fix,uses_ad_boosts_Fix
1,5e9ae51d43d6a96e303acdb0,2020 Summer Vintage Flamingo Print  Pajamas Set Casual Loose T Shirt Top And Elastic Shorts Women Sleepwear Night Wear Loungewear Sets,16,14,100,0,3.76,54,26,8,10,1,9,"Summer,Fashion,womenunderwearsuit,printedpajamasset,womencasualshort,Women's Fashion,flamingo,loungewearset,Casual,Shirt,casualsleepwear,Shorts,flamingotshirt,Elastic,Vintage,Tops,tshirtandshortsset,Women,Sleepwear,Print,womenpajamasset,womennightwear,Pajamas,womensleepwearset",white,50,34,50,568,4.128521127,2. Baixo(100),752,Branco,1. Baixo Impacto,Scarcity,0,FALSE,FALSE,FALSE,0,Standard Delivery,2. Barato,2. Normal,07. M,"Roupa de Dormir, Camiseta, Roupa de Ficar em Casa, Pijama, Camisa, Shorts, Top, Conjunto, Lingerie","Algodão/Poliéster, Algodão/Viscose, Elastano, Poliéster, Algodão, Algodão/Denim, Nilon/Elastano",TRUE,CN,price_maior,-12,FALSE
2,58940d436a0d3d5da4e95a38,Women's Casual Summer Sleeveless Sexy Mini Dress,8,22,20000,1,3.45,6135,2269,1027,1118,644,1077,"Mini,womens dresses,Summer,Patchwork,fashion dress,Dress,Mini dress,Women's Fashion,Women S Clothing,backless,party,summer dresses,sleeveless,sexy,Casual",green,50,41,50,17752,3.899673276,5. Muito Alto(20000),690,Verde,3. Médio Impacto,Scarcity,0,FALSE,FALSE,FALSE,1,Standard Delivery,2. Barato,2. Normal,05. P (XS),Vestido,"Poliéster/Elastano, Algodão/Poliéster, Poliéster/Viscose, Poliéster, Algodão/Viscose, Algodão",TRUE,CN,retail_maior,175,TRUE
3,5ea10e2c617580260d55310a,2020 New Arrival Women Spring and Summer Beach Wear Long Thin Cardigan Open Front Kimono Green Leaf Printed Chiffon Cardigan S-5XL,8,43,100,0,3.57,14,5,4,2,0,3,"Summer,cardigan,women beachwear,chiffon,Sexy women,Coat,summercardigan,openfront,short sleeves,Swimsuit,Women's Fashion,leaf,Green,printed,Spring,longcardigan,Women,Beach,kimono",leopardprint,1,36,50,295,3.989830508,2. Baixo(100),714,Multicor/Estampado,4. Alto Impacto,Scarcity,0,FALSE,FALSE,FALSE,0,Standard Delivery,2. Barato,2. Normal,05. P (XS),"Cardigan, Casaco, Quimono, Camiseta, Maiô/Biquíni, Moda Praia","Algodão/Poliéster, Poliéster, Poliéster/Algodão, Viscose/Poliéster, Poliéster/Elastano, Nilon/Elastano, Algodão",TRUE,CN,retail_maior,438,FALSE
4,5cedf17ad1d44c52c59e4aca,Hot Summer Cool T Shirt for Women Fashion Tops Bee Printed Letters Short Sleeve O Neck Cotton T-shirts Tops Tee Clothing,8,8,5000,1,4.03,579,295,119,87,42,36,"Summer,Shorts,Cotton,Cotton T Shirt,Sleeve,printedletterstop,Clothing,Tops,Necks,short sleeves,Women's Fashion,Women Clothing,printed,Women,tshirtforwomen,Fashion,T Shirts,Shirt",black,50,41,50,23832,4.02043471,4. Alto(10000),806,Preto,4. Alto Impacto,None,0,FALSE,FALSE,FALSE,1,Standard Delivery,2. Barato,2. Normal,07. M,"Camiseta, Camisa, Shorts, Top","Algodão/Poliéster, Algodão, Poliéster",FALSE,CN,iguais,0,TRUE
5,5ebf5819ebac372b070b0e70,Women Summer Shorts Lace Up Elastic Waistband Loose Thin Casual Pants Plus Size S-8XL,2.72,3,100,1,3.1,20,6,4,2,2,6,"Summer,Plus Size,Lace,Casual pants,Bottom,pants,Loose,Women's Fashion,Shorts,Lace Up,Elastic,Casual,Women",yellow,1,35,50,14482,4.001588178,2. Baixo(100),620,Laranja/Amarelo,3. Médio Impacto,Scarcity,0,FALSE,FALSE,FALSE,1,Standard Delivery,2. Barato,2. Normal,06. P (S),"Parte de Baixo, Calça, Shorts","Algodão/Poliéster, Elastano, Renda, Algodão",TRUE,CN,retail_maior,10,TRUE
6,5ec645bafd107a02279c8c54,Plus Size Summer Women Casual Sleeveless Rompers Jumpsuits Solid Color Suspender Ttrousers Loose Overalls,3.92,9,10,0,5,1,1,0,0,0,0,"Deep V-Neck,Summer,Plus Size,Spaghetti Strap,Overalls,Women's Fashion,sleeveless,Women,Casual,jumpsuit",navyblue,1,40,50,65,3.507692308,1. Micro(10),1000,Azul,3. Médio Impacto,None,0,FALSE,FALSE,FALSE,0,Standard Delivery,2. Barato,2. Normal,05. P (XS),"Macacão, Jardineira/Macacão","Algodão/Poliéster, Poliéster/Elastano, Denim, Algodão",FALSE,CN,retail_maior,130,FALSE
7,5c63a337d5e2ce4bbb3152cf,Women Fashion Loose Lace Blouse V Neck Bat Sleeves T Shirt Hollow Out Tops Plus Size XS-8XL,7,6,50000,0,3.84,6742,3172,1352,971,490,757,"blouse,Women,lace t shirt,summer t-shirts,Lace,Sleeve,Women Blouse,loose shirt,Short Sleeve Blouses,Pure Color,Womens Blouse,Bat,lace shirts,Necks,Women's Fashion,Plus Size,loose t-shirt,Short Sleeve T-Shirt,Fashion,Tops,Shirt",white,50,31,50,10194,4.076515597,6. Crítico(>20000),768,Branco,1. Baixo Impacto,None,0,FALSE,FALSE,FALSE,0,Standard Delivery,2. Barato,2. Normal,05. P (XS),"Blusa, Camisa, Camiseta, Top","Algodão/Poliéster, Poliéster/Viscose, Renda, Renda/Poliéster, Renda/Algodão, Algodão/Viscose, Algodão",FALSE,CN,price_maior,-14,FALSE
8,5e0ae5ebc2efb76ccf0a3391,Women's Baggy Tunic Dress Summer Dress Denim Dress Denim Shirt Dress Shift Dress,12,11,1000,0,3.76,286,120,56,61,18,31,"Jeans,Fashion,tunic,Shirt,Summer,Dress,Denim,summer dress,denimjeansdres,short sleeves,casual dresses,Women's Fashion,Tunic dress,minishirtdres,Lines,mididre",blue,50,139,50,342,3.68128655,3. Médio(1000),752,Azul,3. Médio Impacto,None,0,FALSE,FALSE,FALSE,0,Standard Delivery,2. Barato,2. Normal,07. M,"Vestido, Jeans, Camisa, Camiseta, Túnica","Algodão/Poliéster, Algodão/Viscose, Denim, Algodão",FALSE,CN,price_maior,-8,FALSE
9,5e6f1fb7fe4a5bb4b8bf36e5,Women's Summer Casual Dress Fashion Short Sleeve Slim Dress,11,84,100,1,3.47,15,6,2,3,1,3,"slim dress,summer dress,womenshortsleevedre,Sleeve,Summer,Dress,slim,short sleeves,Women's Fashion,Shorts,boho dress,slimfitdre,Fashion,Casual",black,50,36,50,330,3.803030303,2. Baixo(100),694,Preto,4. Alto Impacto,Scarcity,0,FALSE,FALSE,FALSE,1,Standard Delivery,2. Barato,2. Normal,07. M,"Vestido, Camiseta, Shorts","Viscose/Poliéster, Algodão/Poliéster, Algodão/Elastano, Poliéster/Elastano, Algodão/Viscose, Algodão",TRUE,CN,retail_maior,664,TRUE
10,5ccfaf238a8d535cec2dfb47,Summer Women Plus Size Casual Loose V Neck Short Sleeve Floral Printed Blouse Tops,5.78,22,5000,0,3.6,687,287,128,92,68,112,"blouse,Summer,Plus Size,Floral print,Necks,Sleeve,summer shirt,Loose,short sleeves,Casual,T Shirts,Shorts,Fashion,Floral,Women,Women's Fashion,Tops,printed",beige,50,33,50,5534,3.999819299,4. Alto(10000),720,Tons Neutros,2. Baixo a Médio Impacto,None,0,FALSE,FALSE,FALSE,0,Standard Delivery,2. Barato,2. Normal,06. P (S),"Blusa, Camisa, Camiseta, Shorts, Top","Poliéster/Viscose, Algodão/Poliéster, Poliéster, Algodão",FALSE,CN,retail_maior,281,FALSE
